"","application_for","potential_voters","ballots_distributed","ballots_cast","final_voter_count","pass_rate","response_rate"
"104","Traffic Calming",129,106,66,106,40,62.26
"105","Appeal  Front Yard Parking",84,77,23,77,13,29.87
"106","Front Yard Parking",124,87,44,87,23,50.57
"107","Front Yard Parking",117,105,41,105,22,39.05
"108","Front Yard Parking",26,22,11,22,7,50
"109","Appeal  Front Yard Parking",101,81,30,81,16,37.04
"110","Appeal  Front Yard Parking",131,110,33,110,18,30
"111","Appeal  Front Yard Parking",181,141,60,141,31,42.55
"112","Appeal  Front Yard Parking",102,88,30,88,16,34.09
"113","Permit Parking",98,90,48,90,25,53.33
"114","Permit Parking",99,89,36,89,19,40.45
"115","Front Yard Parking",483,84,45,84,24,53.57
"116","Front Yard Parking",55,46,29,46,16,63.04
"117","Appeal  Front Yard Parking",152,130,39,130,21,30
"118","Traffic Calming",98,87,51,87,31,58.62
"119","Appeal  Front Yard Parking",65,58,26,58,14,44.83
"120","Appeal  Front Yard Parking",26,21,14,21,8,66.67
"121","Appeal  Front Yard Parking",28,26,17,26,10,65.38
"122","Appeal  Front Yard Parking",76,62,34,62,18,54.84
"123","Front Yard Parking",169,140,78,140,40,55.71
"124","Appeal  Front Yard Parking",99,85,34,85,18,40
"125","Appeal  Front Yard Parking",89,62,18,62,10,29.03
"126","Permit Parking",73,60,25,60,14,41.67
"127","Front Yard Parking",164,117,46,117,24,39.32
"128","Front Yard Parking",148,125,66,125,34,52.8
"129","Front Yard Parking",137,109,40,109,21,36.7
"130","Appeal  Front Yard Parking",90,77,45,77,24,58.44
"131","Boulevard Cafe",136,114,55,114,29,48.25
"132","Appeal  Front Yard Parking",142,131,66,131,34,50.38
"133","Appeal  Front Yard Parking",61,53,18,53,10,33.96
"134","Appeal  Front Yard Parking",170,136,48,136,25,35.29
"135","Appeal  Front Yard Parking",75,61,28,61,15,45.9
"136","Appeal  Front Yard Parking",130,108,44,108,23,40.74
"137","Appeal  Front Yard Parking",144,116,39,116,21,33.62
"138","Front Yard Parking",89,79,55,79,29,69.62
"139","Permit Parking",27,23,9,23,6,39.13
"140","Permit Parking",182,150,66,150,34,44
"141","Appeal  Front Yard Parking",88,69,28,69,15,40.58
"142","Front Yard Parking",34,23,15,23,9,65.22
"143","Front Yard Parking",203,159,87,159,45,54.72
"144","Front Yard Parking",99,82,49,82,26,59.76
"145","Front Yard Parking",95,73,46,73,24,63.01
"146","Appeal  Front Yard Parking",138,117,53,117,28,45.3
"147","Boulevard Cafe",120,99,57,99,30,57.58
"148","Appeal  Front Yard Parking",151,115,48,115,25,41.74
"149","Appeal  Front Yard Parking",178,145,49,145,26,33.79
"150","Front Yard Parking",85,68,30,68,16,44.12
"151","Appeal  Front Yard Parking",68,58,34,58,18,58.62
"152","Front Yard Parking",33,28,14,28,8,50
"153","Appeal  Front Yard Parking",331,253,99,253,51,39.13
"154","Appeal  Front Yard Parking",194,151,64,151,33,42.38
"155","Front Yard Parking",92,83,46,83,24,55.42
"156","Appeal  Front Yard Parking",38,37,23,37,13,62.16
"157","Appeal  Front Yard Parking",169,138,39,138,21,28.26
"158","Appeal  Front Yard Parking",89,80,48,80,25,60
"159","Appeal  Front Yard Parking",110,85,36,85,19,42.35
"160","Front Yard Parking",107,86,54,86,28,62.79
"161","Front Yard Parking",196,96,63,96,33,65.62
"162","Boulevard Cafe",145,131,37,131,20,28.24
"163","Appeal  Front Yard Parking",80,66,16,66,9,24.24
"164","Boulevard Cafe",103,76,27,76,15,35.53
"165","Boulevard Cafe",48,44,12,44,7,27.27
"166","Front Yard Parking",81,61,36,61,19,59.02
"167","Front Yard Parking",157,126,60,126,31,47.62
"168","Appeal  Front Yard Parking",120,98,29,98,16,29.59
"169","Traffic Calming",27,25,16,25,10,64
"170","Front Yard Parking",182,153,64,153,33,41.83
"171","Appeal  Front Yard Parking",83,69,41,69,22,59.42
"172","Appeal  Front Yard Parking",72,51,14,51,8,27.45
"173","Appeal  Front Yard Parking",199,149,67,149,35,44.97
"174","Appeal  Front Yard Parking",141,117,73,117,38,62.39
"175","Appeal  Front Yard Parking",141,117,76,117,39,64.96
"176","Boulevard Cafe",82,63,23,63,13,36.51
"177","Front Yard Parking",284,212,74,212,38,34.91
"178","Traffic Calming",165,140,88,140,53,62.86
"179","Traffic Calming",66,63,39,63,24,61.9
"180","Front Yard Parking",83,67,37,67,20,55.22
"181","Appeal  Front Yard Parking",56,51,26,51,14,50.98
"182","Appeal  Front Yard Parking",107,89,58,89,30,65.17
"183","Front Yard Parking",35,29,24,29,13,82.76
"184","Appeal  Front Yard Parking",50,35,17,35,10,48.57
"185","Permit Parking",6,6,4,6,3,66.67
"186","Front Yard Parking",99,93,41,93,22,44.09
"187","Boulevard Cafe",58,47,16,47,9,34.04
"188","Appeal  Front Yard Parking",25,23,19,23,11,82.61
"189","Front Yard Parking",63,45,43,45,23,95.56
"190","Boulevard Cafe",167,143,61,143,32,42.66
"191","Boulevard Cafe",129,34,9,34,6,26.47
"192","Boulevard Cafe",95,71,20,71,11,28.17
"193","Appeal  Front Yard Parking",109,95,33,95,18,34.74
"194","Front Yard Parking",155,119,96,119,49,80.67
"195","Front Yard Parking",128,114,56,114,29,49.12
"196","Appeal  Front Yard Parking",82,70,49,70,26,70
"197","Front Yard Parking",126,110,44,110,23,40
"198","Front Yard Parking",100,76,49,76,26,64.47
"199","Front Yard Parking",149,130,71,130,37,54.62
"200","Boulevard Cafe",50,44,11,44,7,25
"201","Front Yard Parking",28,23,12,23,7,52.17
"202","Traffic Calming",85,72,43,72,26,59.72
"203","Traffic Calming",77,64,34,64,21,53.12
"204","Boulevard Cafe",24,13,7,13,5,53.85
"205","Traffic Calming",139,116,76,116,46,65.52
"206","Traffic Calming",213,188,94,188,57,50
"207","Front Yard Parking",114,103,57,103,30,55.34
"208","Front Yard Parking",94,70,41,70,22,58.57
"209","Appeal  Front Yard Parking",57,48,30,48,16,62.5
"210","Appeal  Front Yard Parking",146,133,71,133,37,53.38
"211","Front Yard Parking",92,78,41,78,22,52.56
"212","Appeal  Front Yard Parking",251,194,92,194,47,47.42
"213","Front Yard Parking",47,44,26,44,14,59.09
"214","Appeal  Front Yard Parking",21,15,7,15,5,46.67
"215","Front Yard Parking",55,46,35,46,19,76.09
"216","Boulevard Cafe",139,115,30,115,16,26.09
"217","Boulevard Cafe",146,118,37,118,20,31.36
"218","Boulevard Cafe",142,114,26,114,14,22.81
"219","Boulevard Cafe",81,66,29,66,16,43.94
"220","Appeal  Front Yard Parking",92,71,26,71,14,36.62
"221","Appeal  Front Yard Parking",150,116,63,116,33,54.31
"222","Appeal  Front Yard Parking",146,125,46,125,24,36.8
"223","Front Yard Parking",25,12,10,12,6,83.33
"224","Front Yard Parking",48,40,26,40,14,65
"225","Appeal  Front Yard Parking",102,81,32,81,17,39.51
"226","Front Yard Parking",180,88,50,88,26,56.82
"227","Front Yard Parking",52,41,28,41,15,68.29
"228","Front Yard Parking",73,64,40,64,21,62.5
"229","Front Yard Parking",102,96,58,96,30,60.42
"230","Appeal  Front Yard Parking",143,112,31,112,17,27.68
"231","Appeal  Front Yard Parking",133,117,55,117,29,47.01
"232","Front Yard Parking",151,136,71,136,37,52.21
"233","Front Yard Parking",145,83,48,83,25,57.83
"234","Appeal  Front Yard Parking",104,84,40,84,21,47.62
"235","Appeal  Front Yard Parking",93,85,36,85,19,42.35
"236","Traffic Calming",35,31,27,31,17,87.1
"237","Front Yard Parking",86,74,57,74,30,77.03
"238","Front Yard Parking",128,106,49,106,26,46.23
"239","Appeal  Front Yard Parking",184,153,72,153,37,47.06
"240","Appeal  Front Yard Parking",136,106,36,106,19,33.96
"241","Traffic Calming Island",37,30,26,30,16,86.67
"242","Front Yard Parking",58,50,15,50,9,30
"243","Front Yard Parking",104,93,32,93,17,34.41
"244","Boulevard Cafe",27,20,10,20,6,50
"245","Appeal  Front Yard Parking",102,92,41,92,22,44.57
"246","Appeal  Front Yard Parking",91,73,40,73,21,54.79
"247","Appeal  Front Yard Parking",156,136,43,136,23,31.62
"248","Appeal  Front Yard Parking",49,40,26,40,14,65
"249","Appeal  Front Yard Parking",146,121,42,121,22,34.71
"250","Appeal  Front Yard Parking",130,109,42,109,22,38.53
"251","Appeal  Front Yard Parking",85,70,37,70,20,52.86
"252","Appeal  Front Yard Parking",146,130,47,130,25,36.15
"253","Appeal  Front Yard Parking",157,130,50,130,26,38.46
"254","Appeal  Front Yard Parking",56,47,25,47,14,53.19
"255","Front Yard Parking",80,70,47,70,25,67.14
"256","Front Yard Parking",129,105,57,105,30,54.29
"257","Appeal  Front Yard Parking",103,90,45,90,24,50
"258","Front Yard Parking",95,83,49,83,26,59.04
"259","Front Yard Parking",67,59,33,59,18,55.93
"260","Front Yard Parking",93,82,39,82,21,47.56
"261","Front Yard Parking",104,83,26,83,14,31.33
"262","Front Yard Parking",62,53,27,53,15,50.94
"263","Appeal  Front Yard Parking",168,135,65,135,34,48.15
"264","Appeal  Front Yard Parking",134,92,44,92,23,47.83
"265","Appeal  Front Yard Parking",83,70,47,70,25,67.14
"266","Appeal  Front Yard Parking",110,93,37,93,20,39.78
"267","Commercial Boulevard Parking",81,64,23,64,13,35.94
"268","Front Yard Parking",125,104,38,104,20,36.54
"269","Front Yard Parking",185,156,67,156,35,42.95
"270","Front Yard Parking",88,74,41,74,22,55.41
"271","Front Yard Parking",134,109,56,109,29,51.38
"272","Appeal  Front Yard Parking",89,78,47,78,25,60.26
"273","Appeal  Front Yard Parking",96,83,48,83,25,57.83
"274","Front Yard Parking",22,20,11,20,7,55
"275","Front Yard Parking",92,47,32,47,17,68.09
"276","Front Yard Parking",49,42,26,42,14,61.9
"277","Front Yard Parking",167,97,36,97,19,37.11
"278","Front Yard Parking",21,19,7,19,5,36.84
"279","Front Yard Parking",152,38,32,38,17,84.21
"280","Front Yard Parking",119,102,63,102,33,61.76
"281","Traffic Calming",57,55,30,55,18,54.55
"282","Appeal  Front Yard Parking",51,42,33,42,18,78.57
"283","Appeal  Front Yard Parking",114,97,25,97,14,25.77
"284","Appeal  Front Yard Parking",73,65,29,65,16,44.62
"285","Appeal  Front Yard Parking",38,38,16,38,9,42.11
"286","Appeal  Front Yard Parking",73,66,32,66,17,48.48
"287","Appeal  Front Yard Parking",106,96,54,96,28,56.25
"288","Appeal  Front Yard Parking",151,135,53,135,28,39.26
"289","Appeal  Front Yard Parking",80,70,26,70,14,37.14
"290","Front Yard Parking",173,107,46,107,24,42.99
"291","Front Yard Parking",80,65,41,65,22,63.08
"292","Front Yard Parking",40,39,28,39,15,71.79
"293","Permit Parking",164,140,40,140,21,28.57
"294","Boulevard Cafe",107,92,25,92,14,27.17
"295","Permit Parking",206,205,56,205,29,27.32
"296","Permit Parking",23,22,10,22,6,45.45
"297","Front Yard Parking",94,76,34,76,18,44.74
"298","Boulevard Cafe",81,65,35,65,19,53.85
"299","Front Yard Parking",76,54,16,54,9,29.63
"300","Front Yard Parking",83,60,27,60,15,45
"301","Front Yard Parking",52,50,36,50,19,72
"302","Front Yard Parking",151,133,45,133,24,33.83
"303","Front Yard Parking",12,11,5,11,4,45.45
"304","Front Yard Parking",49,40,24,40,13,60
"305","Permit Parking",67,61,26,61,14,42.62
"306","Permit Parking",150,121,66,121,34,54.55
"307","Appeal  Front Yard Parking",141,107,34,107,18,31.78
"308","Front Yard Parking",110,97,56,97,29,57.73
"309","Front Yard Parking",52,41,13,41,8,31.71
"310","Front Yard Parking",93,74,35,74,19,47.3
"311","Appeal  Front Yard Parking",48,37,20,37,11,54.05
"312","Front Yard Parking",36,31,23,31,13,74.19
"313","Permit Parking",26,21,15,21,9,71.43
"314","Permit Parking",177,167,62,167,32,37.13
"315","Permit Parking",65,57,34,57,18,59.65
"316","Front Yard Parking",130,111,52,111,27,46.85
"317","Appeal  Front Yard Parking",92,79,58,79,30,73.42
"318","Front Yard Parking",115,100,53,100,28,53
"319","Front Yard Parking",158,102,59,102,31,57.84
"320","Appeal  Front Yard Parking",228,185,79,185,41,42.7
"321","Appeal  Front Yard Parking",109,79,28,79,15,35.44
"322","Front Yard Parking",151,116,45,116,24,38.79
"323","Appeal  Front Yard Parking",205,165,66,165,34,40
"324","Appeal  Front Yard Parking",171,130,54,130,28,41.54
"325","Appeal  Front Yard Parking",154,138,85,138,44,61.59
"326","Boulevard Cafe",24,14,3,14,3,21.43
"327","Boulevard Cafe",105,87,42,87,22,48.28
"328","Front Yard Parking",108,99,46,99,24,46.46
"329","Front Yard Parking",26,26,12,26,7,46.15
"330","Front Yard Parking",137,115,52,115,27,45.22
"331","Front Yard Parking",111,96,36,96,19,37.5
"332","Front Yard Parking",58,40,23,40,13,57.5
"333","Front Yard Parking",76,64,33,64,18,51.56
"334","Front Yard Parking",297,98,42,98,22,42.86
"335","Front Yard Parking",111,94,45,94,24,47.87
"336","Front Yard Parking",41,34,15,34,9,44.12
"337","Appeal  Front Yard Parking",138,116,47,116,25,40.52
"338","Appeal  Front Yard Parking",156,111,40,111,21,36.04
"339","Appeal  Front Yard Parking",84,70,19,70,11,27.14
"340","Permit Parking",59,48,23,48,13,47.92
"341","Front Yard Parking",19,18,12,18,7,66.67
"342","Appeal  Front Yard Parking",47,44,12,44,7,27.27
"343","Traffic Calming",27,21,13,21,8,61.9
"344","Boulevard Cafe",48,39,13,39,8,33.33
"345","Front Yard Parking",119,106,39,106,21,36.79
"346","Front Yard Parking",60,46,20,46,11,43.48
"347","Front Yard Parking",106,75,46,75,24,61.33
"348","Front Yard Parking",120,88,41,88,22,46.59
"349","Front Yard Parking",85,75,37,75,20,49.33
"350","Appeal  Front Yard Parking",100,77,28,77,15,36.36
"351","Front Yard Parking",144,120,55,120,29,45.83
"352","Traffic Calming",110,89,56,89,34,62.92
"353","Traffic Calming",156,132,75,132,45,56.82
"354","Front Yard Parking",113,89,55,89,29,61.8
"355","Appeal  Front Yard Parking",124,103,32,103,17,31.07
"356","Appeal  Front Yard Parking",221,21,6,21,4,28.57
"357","Appeal  Front Yard Parking",147,122,55,122,29,45.08
"358","Appeal  Front Yard Parking",144,120,31,120,17,25.83
"359","Appeal  Front Yard Parking",56,49,31,49,17,63.27
"360","Appeal  Front Yard Parking",113,51,23,51,13,45.1
"361","Appeal  Front Yard Parking",181,142,58,142,30,40.85
"362","Appeal  Front Yard Parking",67,63,32,63,17,50.79
"363","Appeal  Front Yard Parking",40,28,11,28,7,39.29
"364","Appeal  Front Yard Parking",165,129,67,129,35,51.94
"365","Front Yard Parking",109,93,55,93,29,59.14
"366","Front Yard Parking",165,128,54,128,28,42.19
"367","Front Yard Parking",157,120,44,120,23,36.67
"368","Appeal  Front Yard Parking",83,68,30,68,16,44.12
"369","Front Yard Parking",114,88,21,88,12,23.86
"370","Front Yard Parking",65,54,33,54,18,61.11
"371","Front Yard Parking",58,54,27,54,15,50
"372","Traffic Calming",39,31,18,31,11,58.06
"373","Traffic Calming",80,67,38,67,23,56.72
"374","Front Yard Parking",166,129,31,129,17,24.03
"375","Appeal  Front Yard Parking",144,119,42,119,22,35.29
"376","Boulevard Cafe",153,117,48,117,25,41.03
"377","Boulevard Cafe",37,26,11,26,7,42.31
"378","Boulevard Cafe",108,93,21,93,12,22.58
"379","Boulevard Cafe",37,27,11,27,7,40.74
"380","Traffic Calming",322,279,133,279,80,47.67
"381","Traffic Calming",221,187,112,187,68,59.89
"382","Boulevard Cafe",89,81,37,81,20,45.68
"383","Appeal  Front Yard Parking",153,129,53,129,28,41.09
"384","Appeal  Front Yard Parking",153,129,51,129,27,39.53
"385","Appeal  Front Yard Parking",95,76,32,76,17,42.11
"386","Front Yard Parking",48,40,32,40,17,80
"387","Front Yard Parking",51,45,28,45,15,62.22
"388","Permit Parking",64,58,32,58,17,55.17
"389","Permit Parking",77,62,17,62,10,27.42
"390","Front Yard Parking",86,68,41,68,22,60.29
"391","Traffic Calming",206,188,101,188,61,53.72
"392","Traffic Calming",125,109,53,109,32,48.62
"393","Boulevard Cafe",110,98,36,98,19,36.73
"394","Traffic Calming",49,42,25,42,15,59.52
"395","Traffic Calming",44,41,28,41,17,68.29
"396","Front Yard Parking",91,78,42,78,22,53.85
"397","Front Yard Parking",66,57,22,57,12,38.6
"398","Front Yard Parking",97,86,25,86,14,29.07
"399","Appeal  Front Yard Parking",24,19,16,19,9,84.21
"400","Front Yard Parking",51,43,28,43,15,65.12
"401","Front Yard Parking",156,124,42,124,22,33.87
"402","Appeal  Front Yard Parking",123,96,30,96,16,31.25
"403","Appeal  Front Yard Parking",173,146,57,146,30,39.04
"404","Appeal  Front Yard Parking",161,127,62,127,32,48.82
"405","Appeal  Front Yard Parking",81,70,46,70,24,65.71
"406","Appeal  Front Yard Parking",82,73,31,73,17,42.47
"407","Appeal  Front Yard Parking",95,83,36,83,19,43.37
"408","Proposed Business Improvement Area",396,19,15,19,8,78.95
"409","Front Yard Parking",59,50,15,50,9,30
"410","Front Yard Parking",72,62,32,62,17,51.61
"411","Front Yard Parking",1069,88,42,88,22,47.73
"412","Boulevard Cafe",131,108,33,108,18,30.56
"413","Traffic Calming",70,69,32,69,20,46.38
"414","Front Yard Parking",74,59,29,59,16,49.15
"415","Front Yard Parking",101,90,38,90,20,42.22
"416","Traffic Calming Island",313,275,140,275,84,50.91
"417","Traffic Calming Island",445,396,229,396,138,57.83
"418","Front Yard Parking",75,70,24,70,13,34.29
"419","Appeal  Front Yard Parking",89,71,32,71,17,45.07
"420","Appeal  Front Yard Parking",65,56,31,56,17,55.36
"421","Front Yard Parking",91,74,37,74,20,50
"422","Traffic Calming",88,77,52,77,32,67.53
"423","Appeal  Front Yard Parking",196,150,94,150,48,62.67
"424","Front Yard Parking",51,45,19,45,11,42.22
"425","Traffic Calming",84,73,34,73,21,46.58
"426","Traffic Calming",47,42,19,42,12,45.24
"427","Front Yard Parking",63,13,11,13,7,84.62
"428","Front Yard Parking",122,100,46,100,24,46
"429","Permit Parking",107,89,22,89,12,24.72
"430","Boulevard Cafe",87,67,20,67,11,29.85
"431","Appeal  Front Yard Parking",153,129,47,129,25,36.43
"432","Appeal  Front Yard Parking",153,129,44,129,23,34.11
"433","Traffic Calming",107,92,50,92,30,54.35
"434","Traffic Calming",85,75,54,75,33,72
"435","Traffic Calming",123,115,57,115,35,49.57
"436","Traffic Calming",78,65,36,65,22,55.38
"437","Boulevard Cafe",187,154,39,154,21,25.32
"438","Front Yard Parking",150,113,74,113,38,65.49
"439","Appeal  Front Yard Parking",70,60,21,60,12,35
"440","Boulevard Cafe",120,92,31,92,17,33.7
"441","Appeal  Front Yard Parking",91,74,23,74,13,31.08
"442","Traffic Calming",152,125,77,125,47,61.6
"443","Traffic Calming",114,107,58,107,35,54.21
"444","Traffic Calming",82,73,53,73,32,72.6
"445","Front Yard Parking",99,79,52,79,27,65.82
"446","Traffic Calming",117,89,40,89,24,44.94
"447","Traffic Calming",109,95,57,95,35,60
"448","Front Yard Parking",58,50,30,50,16,60
"449","Appeal  Front Yard Parking",154,83,42,83,22,50.6
"450","Traffic Calming",59,49,34,49,21,69.39
"451","Front Yard Parking",128,92,41,92,22,44.57
"452","Front Yard Parking",896,13,12,13,7,92.31
"453","Front Yard Parking",155,98,47,98,25,47.96
"454","Appeal  Front Yard Parking",167,145,39,145,21,26.9
"455","Boulevard Cafe",69,54,17,54,10,31.48
"456","Appeal  Front Yard Parking",174,151,57,151,30,37.75
"457","Appeal  Front Yard Parking",106,96,53,96,28,55.21
"458","Front Yard Parking",55,46,31,46,17,67.39
"459","Boulevard Cafe",136,105,31,105,17,29.52
"460","Appeal  Front Yard Parking",98,81,28,81,15,34.57
"461","Front Yard Parking",241,73,41,73,22,56.16
"462","Front Yard Parking",82,68,33,68,18,48.53
"463","Front Yard Parking",91,79,36,79,19,45.57
"464","Front Yard Parking",34,30,19,30,11,63.33
"465","Permit Parking",450,397,101,397,52,25.44
"466","Front Yard Parking",85,64,33,64,18,51.56
"467","Front Yard Parking",292,49,23,49,13,46.94
"468","Front Yard Parking",91,56,21,56,12,37.5
"469","Appeal  Front Yard Parking",62,56,38,56,20,67.86
"470","Appeal  Front Yard Parking",101,73,26,73,14,35.62
"471","Appeal  Front Yard Parking",86,62,46,62,24,74.19
"472","Appeal  Front Yard Parking",197,151,46,151,24,30.46
"473","Boulevard Cafe",56,51,33,51,18,64.71
"474","Appeal  Front Yard Parking",70,60,28,60,15,46.67
"475","Appeal  Front Yard Parking",235,185,53,185,28,28.65
"476","Traffic Calming",96,82,49,82,30,59.76
"477","Front Yard Parking",48,38,20,38,11,52.63
"478","Permit Parking",265,234,58,234,30,24.79
"479","Traffic Calming",77,69,39,69,24,56.52
"480","Traffic Calming",217,192,123,192,74,64.06
"481","Appeal  Front Yard Parking",71,62,37,62,20,59.68
"482","Appeal  Front Yard Parking",71,62,37,62,20,59.68
"483","Appeal  Front Yard Parking",16,11,11,11,7,100
"484","Appeal  Front Yard Parking",84,76,52,76,27,68.42
"485","Appeal  Front Yard Parking",115,106,54,106,28,50.94
"486","Appeal  Front Yard Parking",902,13,13,13,8,100
"487","Front Yard Parking",110,76,32,76,17,42.11
"488","Front Yard Parking",129,107,41,107,22,38.32
"489","Front Yard Parking",187,59,29,59,16,49.15
"490","Front Yard Parking",51,46,32,46,17,69.57
"491","Front Yard Parking",152,125,63,125,33,50.4
"492","Front Yard Parking",89,71,47,71,25,66.2
"493","Proposed Business Improvement Area",54,20,7,20,4,35
"494","Appeal  Front Yard Parking",72,67,30,67,16,44.78
"495","Front Yard Parking",98,78,33,78,18,42.31
"496","Appeal  Front Yard Parking",123,106,49,106,26,46.23
"497","Appeal  Front Yard Parking",96,84,43,84,23,51.19
"498","Appeal  Front Yard Parking",69,59,42,59,22,71.19
"499","Front Yard Parking",260,200,91,200,47,45.5
"500","Front Yard Parking",233,183,49,183,26,26.78
"501","Front Yard Parking",103,75,35,75,19,46.67
"502","Front Yard Parking",162,128,32,128,17,25
"503","Permit Parking",21,19,13,19,8,68.42
"504","Front Yard Parking",69,58,33,58,18,56.9
